area;spot_id;length;hillyness;no_bobil_nor_caravan;end_row;not_spot;no_bobil;reserved;length_norm
Elvebredden;B18;5;0;;0;;;;0.125
Elvebredden;B19;7;0;;0;;;;0.375
Elvebredden;B20;6.5;0;;0;;;;0.3125
Elvebredden;B21;6.5;0;;1;;;;0.3125
Elvebredden;B22;6.5;0;;;1;;;0.3125
Elvebredden;B23;6.5;0;;;;;;0.3125
Elvebredden;B24;7.5;0;;;;;;0.4375
Elvebredden;B25;7.5;0;;;;;;0.4375
Elvebredden;B26;7.5;0;;;;;;0.4375
Elvebredden;B27;7.5;0;;;;;;0.4375
Elvebredden;B28;7.5;0;;;;;;0.4375
Elvebredden;B29;7.5;0;;;;;;0.4375
Elvebredden;B30;7.5;0;;;;;;0.4375
Elvebredden;B31;7.5;0;;;;;;0.4375
Elvebredden;B32;7.5;0;;;;;;0.4375
Elvebredden;B33;7.5;0;;;;;;0.4375
Elvebredden;B34;7.5;0;;;;;;0.4375
Elvebredden;B35;7.5;0;;;;;;0.4375
Elvebredden;B36;7.5;0;;;;;;0.4375
Elvebredden;B37;7.5;0;;;;;;0.4375
Elvebredden;B38;7.5;0;;1;;;;0.4375
;;;;;;;;;-0.5
;;;;;;;;;-0.5
Elvebredden;C1;12;0;;;;;;1
Elvebredden;C2;12;0;;;;;;1
Elvebredden;C3;12;0;;;;;;1
Elvebredden;C4;11;0;;;;;;0.875
Elvebredden;C5;;;;;1;;;-0.5
Elvebredden;C6;9;0;;;;;;0.625
Elvebredden;C7;8.5;0;;;;;;0.5625
Elvebredden;C8;8;0;;;;;;0.5
Elvebredden;C9;7.5;0;;;;;;0.4375
Elvebredden;C10;7.5;0;;;;;;0.4375
Elvebredden;C11;8;0;;;;;;0.5
Elvebredden;C12;8.5;0;;;;;;0.5625
Elvebredden;C13;8.5;0;;;;;;0.5625
Elvebredden;C14;8.5;0;;;;;;0.5625
Elvebredden;C15;8.5;0;;;;;;0.5625
Elvebredden;C16;8.5;0;;;;;;0.5625
Elvebredden;C17;8.5;0;;;;;;0.5625
Elvebredden;C18;8.5;0;;;1;;;0.5625
Elvebredden;C19;8.5;0;;;;;;0.5625
Elvebredden;C20;8;0;;;;;;0.5
Elvebredden;C21;8;0;;;;;;0.5
Elvebredden;C22;8;0;;;;;;0.5
Elvebredden;C23;7.5;0;;;;;;0.4375
Elvebredden;C24;7.5;0;;;;;;0.4375
Elvebredden;C25;7;0;;;;;;0.375
Elvebredden;C26;6;0;;;;;;0.25
Elvebredden;C27;6.5;0;;;;;;0.3125
Elvebredden;C28;7;0;;;;;;0.375
Elvebredden;C29;8.5;0;;;;;;0.5625
Elvebredden;C30;8.5;0;;;;;;0.5625
Elvebredden;C31;8.5;0;;;;;;0.5625
Elvebredden;C32;6;0;;;;;;0.25
Elvebredden;C33;8.5;0;;;;;;0.5625
Elvebredden;C34;8.5;0;;;;;;0.5625
Elvebredden;C35;8.5;0;1;;;;;0.5625
Elvebredden;C36;8.5;0;1;;;;;0.5625
Elvebredden;C37;8.5;0;1;;;;;0.5625
Elvebredden;C38;8.5;0;1;;;;;0.5625
Elvebredden;C39;8.5;0;1;;;;;0.5625
Elvebredden;C40;8.5;0;1;;;;;0.5625
Elvebredden;C41;8.5;0;1;;;;;0.5625
Elvebredden;C42;8.5;0;1;1;;;;0.5625
;;;;;;;;;
Egelandsletta;A1;8;0.1;;;;1;;0.5
Egelandsletta;A2;8;0.1;;;;1;;0.5
Egelandsletta;A3;8;0.1;;;;1;;0.5
Egelandsletta;A4;8;0.3;;;;1;;0.5
Egelandsletta;A5;8;0.3;;;;1;;0.5
Egelandsletta;A6;8;0.3;;;;1;;0.5
Egelandsletta;A7;8;0.1;;;;1;;0.5
Egelandsletta;A8;8;0.1;;;;1;;0.5
Egelandsletta;A9;8;0.1;;;;1;;0.5
Egelandsletta;A10;10;0.2;;;;1;;0.75
Egelandsletta;A11;10;0.2;;;;1;;0.75
Egelandsletta;A12;10;0.2;;;;1;;0.75
Egelandsletta;A13;7;0.2;;;;1;;0.375
Egelandsletta;A14;7;0.2;;;;1;;0.375
Egelandsletta;A15;7;0.2;;;;1;;0.375
Egelandsletta;A16;10;0.1;;;;1;;0.75
Egelandsletta;A17;10;0.1;;;;1;;0.75
Egelandsletta;A18;10;0.1;;;;1;;0.75
Egelandsletta;A19;10;0.1;;;;1;;0.75
Egelandsletta;A20;10;0.1;;;;1;;0.75
Egelandsletta;A21;10;0.1;;1;;1;;0.75
Egelandsletta;A22;9;;;;;1;;0.625
Egelandsletta;A23;9;;;;;1;;0.625
Egelandsletta;A24;9;;;;;1;;0.625
Egelandsletta;A25;9;;;;;1;;0.625
Egelandsletta;A26;9;;;;;1;;0.625
Egelandsletta;A27;9;;;;;1;;0.625
Egelandsletta;A28;9;;;;;1;;0.625
Egelandsletta;A29;9;;;;;1;;0.625
Egelandsletta;A30;9;;;;;1;;0.625
Egelandsletta;A31;9;;;;;1;;0.625
Egelandsletta;A32;9;;;;;1;;0.625
Egelandsletta;A33;9;;;;;1;;0.625
Egelandsletta;A34;7.5;;;1;;1;;0.4375
Egelandsletta;B1;10;;;;;1;;0.75
Egelandsletta;B2;10;;;;;1;;0.75
Egelandsletta;B3;10;;;;;1;;0.75
Egelandsletta;B4;10;;;;;1;;0.75
Egelandsletta;B5;10;;;;;1;;0.75
Egelandsletta;B6;10;;;;;1;;0.75
Egelandsletta;B7;10;;;;;1;;0.75
Egelandsletta;B8;10;;;;;1;;0.75
Egelandsletta;B9;10;;;;;1;;0.75
Egelandsletta;B10;10;;;;;1;;0.75
Egelandsletta;B11;10;;;;;1;;0.75
Egelandsletta;B12;10;;;;;1;;0.75
Egelandsletta;B13;10;;;;;1;;0.75
Egelandsletta;B14;10;;;;;1;;0.75
Egelandsletta;B15;10;;;;;1;;0.75
Egelandsletta;B16;8.5;;;;;1;;0.5625
Egelandsletta;B17;8.5;;;;;1;;0.5625
Egelandsletta;B18;8.5;;;;;1;;0.5625
Egelandsletta;B19;8.5;;;;;;;0.5625
